text,intent
Is it risky to walk alone here? right now,AREA_SAFETY
Please send help urgently right now,EMERGENCY
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
Help me right now urgently,EMERGENCY
Crime rate in this locality? urgently,AREA_SAFETY
Best way to respond to intimidation? right now,SAFETY_ADVICE
Someone is attacking me,EMERGENCY
Is there a law against hidden camera recording? immediately,CHECK_IPC
A man has been following me since office urgently,REPORT_INCIDENT
What is the punishment for rape under Indian law? can you help?,CHECK_IPC
How can I complain anonymously? urgently,HOW_TO_COMPLAIN
A man has been following me since street I am scared,REPORT_INCIDENT
Is this neighborhood dangerous for women? please,AREA_SAFETY
Are there harassment cases reported here? I am scared,AREA_SAFETY
Punishment for criminal intimidation? immediately,CHECK_IPC
How does this system function?,GENERAL
Is this area safe at night? right now,AREA_SAFETY
I am being blackmailed with my photos,REPORT_INCIDENT
How does this system function? immediately,GENERAL
Is this a high crime zone? right now,AREA_SAFETY
What to do during a threat situation? urgently,SAFETY_ADVICE
Someone installed a hidden camera in college urgently,REPORT_INCIDENT
Which IPC deals with assault on women? right now,CHECK_IPC
How does this system function?,GENERAL
Crime rate in this locality? please,AREA_SAFETY
Is this a high crime zone? right now,AREA_SAFETY
Help me right now right now,EMERGENCY
Tell me about SafetyNet I am scared,GENERAL
Where should I go to report stalking? urgently,HOW_TO_COMPLAIN
What can you do?,GENERAL
Help me right now immediately,EMERGENCY
Emergency assistance needed can you help?,EMERGENCY
Do I need proof to file FIR? I am scared,HOW_TO_COMPLAIN
What can you do? please,GENERAL
My husband hit me after an argument urgently,REPORT_INCIDENT
What is the punishment for rape under Indian law? immediately,CHECK_IPC
Is sexual harassment punishable under IPC? please,CHECK_IPC
What features does this platform provide? right now,GENERAL
How can this system help me? can you help?,GENERAL
Please send help urgently I am scared,EMERGENCY
Danger situation happening urgently,EMERGENCY
How does this system function? please,GENERAL
Crime rate in this locality? right now,AREA_SAFETY
How secure is this area currently? can you help?,AREA_SAFETY
Can I file complaint without visiting police station?,HOW_TO_COMPLAIN
What documents are required to file FIR?,HOW_TO_COMPLAIN
How to approach police legally? right now,HOW_TO_COMPLAIN
A man has been following me since mall can you help?,REPORT_INCIDENT
Can I register a complaint online? I am scared,HOW_TO_COMPLAIN
Hi there immediately,GENERAL
I need police support immediately right now,EMERGENCY
Is this a high crime zone? immediately,AREA_SAFETY
Hello right now,GENERAL
How can this system help me? I am scared,GENERAL
IPC section for molestation? immediately,CHECK_IPC
Are there harassment cases reported here? please,AREA_SAFETY
I am being blackmailed with my photos,REPORT_INCIDENT
How does this system function? I am scared,GENERAL
A neighbor verbally abuses me daily I am scared,REPORT_INCIDENT
Which IPC section applies for stalking? please,CHECK_IPC
Guidance for handling blackmail? right now,SAFETY_ADVICE
I need police support immediately immediately,EMERGENCY
IPC section for molestation? urgently,CHECK_IPC
Procedure to report domestic violence? right now,HOW_TO_COMPLAIN
How does this system function? I am scared,GENERAL
I am in immediate danger can you help?,EMERGENCY
How to stay safe while traveling alone?,SAFETY_ADVICE
Can I register a complaint online? immediately,HOW_TO_COMPLAIN
What to do during a threat situation? urgently,SAFETY_ADVICE
Can I file complaint without visiting police station? can you help?,HOW_TO_COMPLAIN
IPC section for molestation?,CHECK_IPC
Call police immediately urgently,EMERGENCY
Procedure to report domestic violence? please,HOW_TO_COMPLAIN
Help me right now urgently,EMERGENCY
There is violence happening now I am scared,EMERGENCY
How does this system function? can you help?,GENERAL
Punishment for criminal intimidation?,CHECK_IPC
What to do during a threat situation? immediately,SAFETY_ADVICE
How do I file an FIR? urgently,HOW_TO_COMPLAIN
Steps to report harassment? please,HOW_TO_COMPLAIN
How to approach police legally? please,HOW_TO_COMPLAIN
What is the punishment for rape under Indian law? please,CHECK_IPC
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
Hi there immediately,GENERAL
Give me details about this app can you help?,GENERAL
How to remain safe in public transport?,SAFETY_ADVICE
How to stay safe while traveling alone? can you help?,SAFETY_ADVICE
Call police immediately immediately,EMERGENCY
Is this neighborhood dangerous for women? please,AREA_SAFETY
Which IPC deals with assault on women? can you help?,CHECK_IPC
What section covers verbal abuse?,CHECK_IPC
Recent crime statistics here? I am scared,AREA_SAFETY
Advice for handling domestic abuse? right now,SAFETY_ADVICE
Someone is attacking me can you help?,EMERGENCY
Guidance for handling blackmail? please,SAFETY_ADVICE
Emergency assistance needed urgently,EMERGENCY
What features does this platform provide? can you help?,GENERAL
IPC section for molestation? I am scared,CHECK_IPC
Please send help urgently right now,EMERGENCY
Tell me about SafetyNet can you help?,GENERAL
Are there harassment cases reported here? immediately,AREA_SAFETY
Is this neighborhood dangerous for women? can you help?,AREA_SAFETY
Which IPC deals with assault on women? please,CHECK_IPC
Tell me about SafetyNet,GENERAL
Guidance for handling blackmail? can you help?,SAFETY_ADVICE
What documents are required to file FIR?,HOW_TO_COMPLAIN
How to remain safe in public transport? can you help?,SAFETY_ADVICE
There is domestic violence happening in my house,REPORT_INCIDENT
What can you do? urgently,GENERAL
Are there harassment cases reported here? please,AREA_SAFETY
Who are you?,GENERAL
What section covers verbal abuse? urgently,CHECK_IPC
Someone installed a hidden camera in college right now,REPORT_INCIDENT
I feel unsafe and threatened please,EMERGENCY
Crime rate in this locality? urgently,AREA_SAFETY
Which IPC section applies for stalking? urgently,CHECK_IPC
He tried to force himself on me near bus stop please,REPORT_INCIDENT
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
Is this neighborhood dangerous for women? can you help?,AREA_SAFETY
Guidance for handling blackmail? right now,SAFETY_ADVICE
I am in immediate danger,EMERGENCY
There is domestic violence happening in my house please,REPORT_INCIDENT
What can you do? immediately,GENERAL
Best way to respond to intimidation? immediately,SAFETY_ADVICE
Crime rate in this locality? can you help?,AREA_SAFETY
Where should I go to report stalking? urgently,HOW_TO_COMPLAIN
A man has been following me since office right now,REPORT_INCIDENT
Best way to respond to intimidation? right now,SAFETY_ADVICE
Someone touched me inappropriately at street immediately,REPORT_INCIDENT
I am in immediate danger I am scared,EMERGENCY
Danger situation happening please,EMERGENCY
How to protect myself at night? urgently,SAFETY_ADVICE
Is this area safe at night? immediately,AREA_SAFETY
Where should I go to report stalking? immediately,HOW_TO_COMPLAIN
Is this neighborhood dangerous for women? I am scared,AREA_SAFETY
Safety tips for harassment situations? immediately,SAFETY_ADVICE
Can I register a complaint online? immediately,HOW_TO_COMPLAIN
I need police support immediately can you help?,EMERGENCY
I need police support immediately,EMERGENCY
Safety level of this location?,AREA_SAFETY
What to do during a threat situation? urgently,SAFETY_ADVICE
How do I file an FIR? urgently,HOW_TO_COMPLAIN
Hi there urgently,GENERAL
Is sexual harassment punishable under IPC? can you help?,CHECK_IPC
I feel unsafe and threatened please,EMERGENCY
He tried to force himself on me near school urgently,REPORT_INCIDENT
What can you do? can you help?,GENERAL
What features does this platform provide? I am scared,GENERAL
Is this neighborhood dangerous for women? can you help?,AREA_SAFETY
Is sexual harassment punishable under IPC? I am scared,CHECK_IPC
What features does this platform provide?,GENERAL
Where should I go to report stalking?,HOW_TO_COMPLAIN
Explain how this chatbot works,GENERAL
How can I complain anonymously? immediately,HOW_TO_COMPLAIN
Are there harassment cases reported here? right now,AREA_SAFETY
How do I file an FIR? can you help?,HOW_TO_COMPLAIN
Advice for handling domestic abuse? urgently,SAFETY_ADVICE
How do I file an FIR? can you help?,HOW_TO_COMPLAIN
How to stay safe while traveling alone? urgently,SAFETY_ADVICE
He tried to force himself on me near park right now,REPORT_INCIDENT
Guidance for handling blackmail? right now,SAFETY_ADVICE
Steps to report harassment? right now,HOW_TO_COMPLAIN
Guidance for handling blackmail? urgently,SAFETY_ADVICE
Give me details about this app urgently,GENERAL
Hi there I am scared,GENERAL
Crime rate in this locality? right now,AREA_SAFETY
Call police immediately immediately,EMERGENCY
Do I need proof to file FIR?,HOW_TO_COMPLAIN
He tried to force himself on me near metro station urgently,REPORT_INCIDENT
Is this a high crime zone? I am scared,AREA_SAFETY
Is this neighborhood dangerous for women? I am scared,AREA_SAFETY
Recent crime statistics here? right now,AREA_SAFETY
He tried to force himself on me near hostel right now,REPORT_INCIDENT
How do I file an FIR?,HOW_TO_COMPLAIN
What to do during a threat situation? urgently,SAFETY_ADVICE
Call police immediately,EMERGENCY
Which IPC deals with assault on women? I am scared,CHECK_IPC
What features does this platform provide?,GENERAL
Is sexual harassment punishable under IPC? please,CHECK_IPC
How does this system function? urgently,GENERAL
Is this a high crime zone?,AREA_SAFETY
Call police immediately I am scared,EMERGENCY
Recent crime statistics here? urgently,AREA_SAFETY
Crime rate in this locality? immediately,AREA_SAFETY
Punishment for criminal intimidation? urgently,CHECK_IPC
Recent crime statistics here? I am scared,AREA_SAFETY
Where should I go to report stalking?,HOW_TO_COMPLAIN
My husband hit me after an argument right now,REPORT_INCIDENT
There is violence happening now immediately,EMERGENCY
There is domestic violence happening in my house can you help?,REPORT_INCIDENT
How to approach police legally? please,HOW_TO_COMPLAIN
Someone is attacking me I am scared,EMERGENCY
Should I avoid this place after 9 PM?,AREA_SAFETY
Is sexual harassment punishable under IPC? right now,CHECK_IPC
What section covers verbal abuse?,CHECK_IPC
How does this system function? I am scared,GENERAL
Can I register a complaint online? immediately,HOW_TO_COMPLAIN
Someone is attacking me urgently,EMERGENCY
What can you do? I am scared,GENERAL
How to protect myself at night? can you help?,SAFETY_ADVICE
What documents are required to file FIR? please,HOW_TO_COMPLAIN
A stranger keeps sending me threatening messages can you help?,REPORT_INCIDENT
Under which section can I file for threats? can you help?,CHECK_IPC
Is this area safe at night? urgently,AREA_SAFETY
Danger situation happening urgently,EMERGENCY
Are there harassment cases reported here? please,AREA_SAFETY
Help me right now,EMERGENCY
Procedure to report domestic violence? I am scared,HOW_TO_COMPLAIN
Guidance for handling blackmail? immediately,SAFETY_ADVICE
Is it risky to walk alone here? can you help?,AREA_SAFETY
Help me right now please,EMERGENCY
Can I register a complaint online? right now,HOW_TO_COMPLAIN
Are there harassment cases reported here? urgently,AREA_SAFETY
Punishment for criminal intimidation? I am scared,CHECK_IPC
Call police immediately can you help?,EMERGENCY
Is there a law against hidden camera recording? immediately,CHECK_IPC
Hello can you help?,GENERAL
A neighbor verbally abuses me daily please,REPORT_INCIDENT
Steps to report harassment? please,HOW_TO_COMPLAIN
Where should I go to report stalking? urgently,HOW_TO_COMPLAIN
Someone is attacking me can you help?,EMERGENCY
There is domestic violence happening in my house please,REPORT_INCIDENT
How to remain safe in public transport? urgently,SAFETY_ADVICE
What law protects women from domestic violence? immediately,CHECK_IPC
Help me right now immediately,EMERGENCY
How to protect myself at night? immediately,SAFETY_ADVICE
Call police immediately please,EMERGENCY
Best way to respond to intimidation? I am scared,SAFETY_ADVICE
I feel unsafe and threatened can you help?,EMERGENCY
I am in immediate danger can you help?,EMERGENCY
Hello,GENERAL
I think someone is stalking me on my way to metro station I am scared,REPORT_INCIDENT
Which IPC deals with assault on women? right now,CHECK_IPC
I am in immediate danger right now,EMERGENCY
How to remain safe in public transport? urgently,SAFETY_ADVICE
Precautions against sexual harassment? right now,SAFETY_ADVICE
Is there a law against hidden camera recording? urgently,CHECK_IPC
Crime rate in this locality? I am scared,AREA_SAFETY
My husband hit me after an argument right now,REPORT_INCIDENT
Safety level of this location? right now,AREA_SAFETY
IPC section for molestation? immediately,CHECK_IPC
IPC section for molestation? can you help?,CHECK_IPC
How to stay safe while traveling alone? I am scared,SAFETY_ADVICE
How does this system function? right now,GENERAL
IPC section for molestation? immediately,CHECK_IPC
Help me right now urgently,EMERGENCY
What section covers verbal abuse?,CHECK_IPC
How to approach police legally? please,HOW_TO_COMPLAIN
Is sexual harassment punishable under IPC?,CHECK_IPC
Procedure to report domestic violence? can you help?,HOW_TO_COMPLAIN
There is violence happening now please,EMERGENCY
What can you do? can you help?,GENERAL
Can I file complaint without visiting police station? I am scared,HOW_TO_COMPLAIN
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
What section covers verbal abuse? immediately,CHECK_IPC
Safety level of this location? urgently,AREA_SAFETY
Is this area safe at night?,AREA_SAFETY
Are there harassment cases reported here? right now,AREA_SAFETY
Under which section can I file for threats? immediately,CHECK_IPC
How do I file an FIR?,HOW_TO_COMPLAIN
How to approach police legally? immediately,HOW_TO_COMPLAIN
What features does this platform provide? urgently,GENERAL
I am in immediate danger can you help?,EMERGENCY
Someone installed a hidden camera in bus stop urgently,REPORT_INCIDENT
How to stay safe while traveling alone? can you help?,SAFETY_ADVICE
Recent crime statistics here?,AREA_SAFETY
Is this area safe at night? immediately,AREA_SAFETY
Emergency assistance needed urgently,EMERGENCY
Someone is attacking me,EMERGENCY
Are there harassment cases reported here? right now,AREA_SAFETY
Give me details about this app urgently,GENERAL
How can this system help me? I am scared,GENERAL
Help me right now please,EMERGENCY
Someone installed a hidden camera in mall can you help?,REPORT_INCIDENT
What documents are required to file FIR? urgently,HOW_TO_COMPLAIN
What can you do? please,GENERAL
I need police support immediately right now,EMERGENCY
I am in immediate danger,EMERGENCY
My husband hit me after an argument I am scared,REPORT_INCIDENT
How to approach police legally? immediately,HOW_TO_COMPLAIN
Is this neighborhood dangerous for women? immediately,AREA_SAFETY
Call police immediately urgently,EMERGENCY
I feel unsafe and threatened please,EMERGENCY
Is this a high crime zone? I am scared,AREA_SAFETY
Tell me about SafetyNet immediately,GENERAL
What documents are required to file FIR? can you help?,HOW_TO_COMPLAIN
I need police support immediately right now,EMERGENCY
Best way to respond to intimidation? urgently,SAFETY_ADVICE
Is this area safe at night? urgently,AREA_SAFETY
Can I register a complaint online? right now,HOW_TO_COMPLAIN
Someone is attacking me can you help?,EMERGENCY
What should I do if someone stalks me? immediately,SAFETY_ADVICE
How secure is this area currently? I am scared,AREA_SAFETY
How can this system help me? immediately,GENERAL
Which IPC section applies for stalking? immediately,CHECK_IPC
Is this neighborhood dangerous for women? immediately,AREA_SAFETY
Best way to respond to intimidation? can you help?,SAFETY_ADVICE
Who are you? please,GENERAL
Explain how this chatbot works,GENERAL
Help me right now please,EMERGENCY
I am being blackmailed with my photos urgently,REPORT_INCIDENT
Is this neighborhood dangerous for women? right now,AREA_SAFETY
Advice for handling domestic abuse? right now,SAFETY_ADVICE
Danger situation happening right now,EMERGENCY
Hello I am scared,GENERAL
Punishment for criminal intimidation? please,CHECK_IPC
I feel unsafe and threatened I am scared,EMERGENCY
Are there harassment cases reported here? right now,AREA_SAFETY
Steps to report harassment? right now,HOW_TO_COMPLAIN
I feel unsafe and threatened immediately,EMERGENCY
How can I complain anonymously? immediately,HOW_TO_COMPLAIN
Should I avoid this place after 9 PM? please,AREA_SAFETY
What documents are required to file FIR? urgently,HOW_TO_COMPLAIN
What law protects women from domestic violence? can you help?,CHECK_IPC
Where should I go to report stalking? I am scared,HOW_TO_COMPLAIN
Guidance for handling blackmail? urgently,SAFETY_ADVICE
Recent crime statistics here? immediately,AREA_SAFETY
Tell me about SafetyNet urgently,GENERAL
I think someone is stalking me on my way to school right now,REPORT_INCIDENT
Recent crime statistics here? can you help?,AREA_SAFETY
What can you do? urgently,GENERAL
There is domestic violence happening in my house I am scared,REPORT_INCIDENT
He tried to force himself on me near street I am scared,REPORT_INCIDENT
How to approach police legally? please,HOW_TO_COMPLAIN
Punishment for criminal intimidation? urgently,CHECK_IPC
Someone is attacking me please,EMERGENCY
I think someone is stalking me on my way to hostel please,REPORT_INCIDENT
Which IPC section applies for stalking? I am scared,CHECK_IPC
Emergency assistance needed I am scared,EMERGENCY
Which IPC section applies for stalking?,CHECK_IPC
Recent crime statistics here? I am scared,AREA_SAFETY
Crime rate in this locality? I am scared,AREA_SAFETY
What can you do?,GENERAL
Call police immediately right now,EMERGENCY
Guidance for handling blackmail? right now,SAFETY_ADVICE
Advice for handling domestic abuse? can you help?,SAFETY_ADVICE
Do I need proof to file FIR? urgently,HOW_TO_COMPLAIN
What should I do if someone stalks me? can you help?,SAFETY_ADVICE
I think someone is stalking me on my way to office immediately,REPORT_INCIDENT
What should I do if someone stalks me? please,SAFETY_ADVICE
Is this neighborhood dangerous for women?,AREA_SAFETY
Who are you? can you help?,GENERAL
Is this neighborhood dangerous for women? I am scared,AREA_SAFETY
Tell me about SafetyNet,GENERAL
There is domestic violence happening in my house immediately,REPORT_INCIDENT
Help me right now urgently,EMERGENCY
How to approach police legally? I am scared,HOW_TO_COMPLAIN
I need police support immediately right now,EMERGENCY
Punishment for criminal intimidation? right now,CHECK_IPC
Where should I go to report stalking? can you help?,HOW_TO_COMPLAIN
He tried to force himself on me near bus stop I am scared,REPORT_INCIDENT
How secure is this area currently? I am scared,AREA_SAFETY
Which IPC section applies for stalking? I am scared,CHECK_IPC
How can I complain anonymously? immediately,HOW_TO_COMPLAIN
Advice for handling domestic abuse? please,SAFETY_ADVICE
There is violence happening now can you help?,EMERGENCY
Are there harassment cases reported here? urgently,AREA_SAFETY
Someone installed a hidden camera in market please,REPORT_INCIDENT
What section covers verbal abuse? urgently,CHECK_IPC
Which IPC section applies for stalking? urgently,CHECK_IPC
Should I avoid this place after 9 PM? right now,AREA_SAFETY
Tell me about SafetyNet urgently,GENERAL
Can I file complaint without visiting police station? I am scared,HOW_TO_COMPLAIN
I am in immediate danger urgently,EMERGENCY
How to stay safe while traveling alone? I am scared,SAFETY_ADVICE
Which IPC section applies for stalking? I am scared,CHECK_IPC
I am being blackmailed with my photos urgently,REPORT_INCIDENT
Is there a law against hidden camera recording? I am scared,CHECK_IPC
Someone is attacking me I am scared,EMERGENCY
There is domestic violence happening in my house urgently,REPORT_INCIDENT
Emergency assistance needed please,EMERGENCY
What section covers verbal abuse? please,CHECK_IPC
Is this a high crime zone? urgently,AREA_SAFETY
Are there harassment cases reported here? right now,AREA_SAFETY
Give me details about this app can you help?,GENERAL
Advice for handling domestic abuse? can you help?,SAFETY_ADVICE
Which IPC deals with assault on women? can you help?,CHECK_IPC
Hi there immediately,GENERAL
Are there harassment cases reported here? I am scared,AREA_SAFETY
Can I register a complaint online? immediately,HOW_TO_COMPLAIN
A man has been following me since school immediately,REPORT_INCIDENT
Which IPC deals with assault on women? immediately,CHECK_IPC
What is the punishment for rape under Indian law? urgently,CHECK_IPC
Give me details about this app right now,GENERAL
A stranger keeps sending me threatening messages I am scared,REPORT_INCIDENT
Please send help urgently,EMERGENCY
Please send help urgently can you help?,EMERGENCY
I am being blackmailed with my photos please,REPORT_INCIDENT
There is violence happening now right now,EMERGENCY
I am in immediate danger immediately,EMERGENCY
How secure is this area currently? I am scared,AREA_SAFETY
Someone installed a hidden camera in metro station can you help?,REPORT_INCIDENT
A stranger keeps sending me threatening messages immediately,REPORT_INCIDENT
A man has been following me since park urgently,REPORT_INCIDENT
Safety tips for harassment situations? immediately,SAFETY_ADVICE
Someone touched me inappropriately at street,REPORT_INCIDENT
Procedure to report domestic violence? please,HOW_TO_COMPLAIN
What can you do? can you help?,GENERAL
What to do during a threat situation? urgently,SAFETY_ADVICE
Safety level of this location? can you help?,AREA_SAFETY
Is it risky to walk alone here?,AREA_SAFETY
How to remain safe in public transport? please,SAFETY_ADVICE
How to stay safe while traveling alone?,SAFETY_ADVICE
Punishment for criminal intimidation? right now,CHECK_IPC
Call police immediately I am scared,EMERGENCY
Which IPC section applies for stalking? can you help?,CHECK_IPC
There is domestic violence happening in my house right now,REPORT_INCIDENT
How to remain safe in public transport? right now,SAFETY_ADVICE
There is violence happening now can you help?,EMERGENCY
Under which section can I file for threats? right now,CHECK_IPC
Steps to report harassment? urgently,HOW_TO_COMPLAIN
Is sexual harassment punishable under IPC?,CHECK_IPC
Who are you? immediately,GENERAL
Hello please,GENERAL
Is sexual harassment punishable under IPC?,CHECK_IPC
I am in immediate danger right now,EMERGENCY
I am in immediate danger please,EMERGENCY
What should I do if someone stalks me? right now,SAFETY_ADVICE
Should I avoid this place after 9 PM? immediately,AREA_SAFETY
Which IPC section applies for stalking? please,CHECK_IPC
Someone is attacking me please,EMERGENCY
How can this system help me? urgently,GENERAL
Danger situation happening can you help?,EMERGENCY
How to stay safe while traveling alone? please,SAFETY_ADVICE
Steps to report harassment? I am scared,HOW_TO_COMPLAIN
Emergency assistance needed right now,EMERGENCY
How can I complain anonymously?,HOW_TO_COMPLAIN
Danger situation happening I am scared,EMERGENCY
